dataset,model,context_type,context_value,n_samples,accuracy,macro_f1
race_2025_clean_laps_top5,gru,event_name,Chinese Grand Prix,251,0.6454183266932271,0.6268533958846894
race_2025_clean_laps_top5,gru,event_name,Dutch Grand Prix,220,0.7727272727272727,0.7022359229255781
race_2025_clean_laps_top5,gru,event_name,Emilia Romagna Grand Prix,220,0.7545454545454545,0.7129337781008255
race_2025_clean_laps_top5,gru,event_name,Hungarian Grand Prix,319,0.8652037617554859,0.8608760581662736
race_2025_clean_laps_top5,gru,event_name,Italian Grand Prix,243,0.48559670781893005,0.4493871042007086
race_2025_clean_laps_top5,gru,event_name,Japanese Grand Prix,249,0.3654618473895582,0.2923855092276145
race_2025_clean_laps_top5,gru,event_name,Las Vegas Grand Prix,211,0.6682464454976303,0.6417340829105534
race_2025_clean_laps_top5,gru,event_name,Mexico City Grand Prix,307,0.5635179153094463,0.5811310670156502
race_2025_clean_laps_top5,gru,event_name,Monaco Grand Prix,289,0.6643598615916955,0.6596969681785003
race_2025_clean_laps_top5,gru,event_name,Qatar Grand Prix,249,0.5100401606425703,0.448358306722345
race_2025_clean_laps_top5,gru,event_name,Saudi Arabian Grand Prix,225,0.1511111111111111,0.10089734554850834
race_2025_clean_laps_top5,gru,event_name,Spanish Grand Prix,271,0.3985239852398524,0.30129913710450623
race_2025_clean_laps_top5,gru,event_name,São Paulo Grand Prix,198,0.9191919191919192,0.7091251410703249
race_2025_clean_laps_top5,gru,event_name,United States Grand Prix,194,0.5567010309278351,0.5244666660846435
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Abu Dhabi Grand Prix,270,0.9592592592592593,0.9594532303909122
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Austrian Grand Prix,184,0.6793478260869565,0.46014631043257
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Azerbaijan Grand Prix,204,0.7598039215686274,0.7490615276964111
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Bahrain Grand Prix,230,0.7391304347826086,0.7230841922595183
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Chinese Grand Prix,251,0.9402390438247012,0.9400307050158945
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Dutch Grand Prix,220,0.95,0.9408505738940521
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Emilia Romagna Grand Prix,220,0.9454545454545454,0.9267143945163747
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Hungarian Grand Prix,319,0.9655172413793104,0.9658424044597147
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Italian Grand Prix,243,0.8065843621399177,0.7588739711644328
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Japanese Grand Prix,249,0.7751004016064257,0.7200457963089543
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Las Vegas Grand Prix,211,0.8815165876777251,0.8802761258796579
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Mexico City Grand Prix,307,0.8175895765472313,0.820696518315148
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Monaco Grand Prix,289,0.726643598615917,0.6879902480924053
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Qatar Grand Prix,249,0.7831325301204819,0.7676394535965074
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Saudi Arabian Grand Prix,225,0.9111111111111111,0.9115351264776785
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,Spanish Grand Prix,271,0.8044280442804428,0.8021213398084974
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,São Paulo Grand Prix,198,0.9090909090909091,0.7581264008593201
