experiment,model,importance_type,feature,importance
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_active_frac,0.5290081051935891
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_mean,0.5290081051935891
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__gear_max,0.5001128533558171
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_diff_std,0.48104641438168405
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_std,0.47236854116732546
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_p75,0.4704209352498796
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_p25,0.46586851822085784
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_p25,0.4594448551169399
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_p90,0.454088977730867
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__n_samples,0.435290617262069
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_p10,0.4222691727687174
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_high_frac,0.40662042095800305
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_cv,0.40501615181122064
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_median,0.3859622606652348
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_mean,0.336105531215152
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_min,0.3145285942090319
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_max,0.3015342928190519
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_cv,0.29377781696226785
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_p10,0.27902636210359066
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_diff_std,0.2729693653211012
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_max,0.2644260706383978
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_diff_abs_max,0.2644260706383978
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_min,0.2630203345212904
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_diff_abs_mean,0.25871969479300183
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_diff_mean,0.25708375352806506
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_diff_mean,0.24380882579622815
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__last_brake_frac_pos,0.23949296832606654
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_max,0.23467854660725626
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_on_count,0.22906815543925535
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__gear_min,0.21416766996135703
experiment_b_without_time_features,logistic_regression,mean_abs_coef,cat__Compound_SOFT,0.19946273813003515
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_diff_mean,0.1915723804854146
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_range,0.18732108987842294
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__first_brake_frac_pos,0.18312119852439854
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_diff_abs_max,0.18295931939171944
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_diff_abs_max,0.1699676227773552
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_p90,0.16424351749370728
experiment_b_without_time_features,logistic_regression,mean_abs_coef,cat__Compound_MEDIUM,0.15618475605159343
