subset_name,event_name,n_drivers,n_samples,n_sessions,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap
confusion_pair_GAS_TSU,Abu Dhabi Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666
confusion_pair_GAS_TSU,Austrian Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_GAS_TSU,Bahrain Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777777,0.22222222222222224
confusion_pair_GAS_TSU,Italian Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_GAS_TSU,Japanese Grand Prix,2,6,3,1.0,0.3333333333333333,0.6666666666666666,1.0,0.2222222222222222,0.7777777777777778
confusion_pair_GAS_TSU,Mexico City Grand Prix,2,6,3,1.0,0.16666666666666666,0.8333333333333334,1.0,0.1111111111111111,0.888888888888889
confusion_pair_GAS_TSU,Miami Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_GAS_TSU,Monaco Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777778,0.22222222222222224
confusion_pair_GAS_TSU,Qatar Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777777,0.22222222222222224
confusion_pair_GAS_TSU,Saudi Arabian Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666
confusion_pair_GAS_TSU,Singapore Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777777,0.22222222222222224
confusion_pair_GAS_TSU,United States Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777777,0.22222222222222224
confusion_pair_HUL_RUS,Abu Dhabi Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_HUL_RUS,Austrian Grand Prix,2,6,3,1.0,1.0,0.0,1.0,1.0,0.0
confusion_pair_HUL_RUS,Bahrain Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.4444444444444444,0.5555555555555556
confusion_pair_HUL_RUS,Italian Grand Prix,2,6,3,1.0,1.0,0.0,1.0,1.0,0.0
confusion_pair_HUL_RUS,Japanese Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_HUL_RUS,Mexico City Grand Prix,2,6,3,1.0,0.3333333333333333,0.6666666666666666,1.0,0.2222222222222222,0.7777777777777778
confusion_pair_HUL_RUS,Miami Grand Prix,2,6,3,1.0,1.0,0.0,1.0,1.0,0.0
confusion_pair_HUL_RUS,Monaco Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777777,0.22222222222222224
confusion_pair_HUL_RUS,Qatar Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_HUL_RUS,Saudi Arabian Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777777,0.22222222222222224
confusion_pair_HUL_RUS,Singapore Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_HUL_RUS,United States Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
