driver,feature,coef,abs_coef
VER,num__brake_on_count,-0.0900261347670495,0.0900261347670495
VER,num__rpm_min,-0.0326276742349864,0.0326276742349864
VER,num__rpm_median,0.01673466283092919,0.01673466283092919
VER,num__speed_mean,0.0,0.0
VER,num__speed_std,0.0,0.0
VER,num__speed_min,0.0,0.0
VER,num__speed_max,0.0,0.0
VER,num__speed_median,0.0,0.0
VER,num__speed_range,0.0,0.0
VER,num__throttle_mean,0.0,0.0
VER,num__throttle_max,0.0,0.0
VER,num__brake_max,0.0,0.0
VER,num__rpm_mean,0.0,0.0
VER,num__rpm_std,0.0,0.0
VER,num__rpm_max,0.0,0.0
VER,num__gear_std,0.0,0.0
VER,num__gear_max,0.0,0.0
VER,num__gear_median,0.0,0.0
VER,num__throttle_zero_frac,0.0,0.0
VER,num__throttle_low_frac,0.0,0.0
VER,num__throttle_high_frac,0.0,0.0
VER,num__throttle_full_frac,0.0,0.0
VER,num__speed_diff_abs_mean,0.0,0.0
VER,num__speed_diff_abs_max,0.0,0.0
VER,num__throttle_diff_mean,0.0,0.0
VER,num__throttle_diff_std,0.0,0.0
VER,num__throttle_diff_abs_max,0.0,0.0
VER,num__brake_diff_abs_mean,0.0,0.0
VER,num__brake_diff_abs_max,0.0,0.0
VER,num__rpm_diff_mean,0.0,0.0
VER,num__rpm_diff_std,0.0,0.0
VER,num__rpm_diff_abs_mean,0.0,0.0
VER,num__rpm_diff_abs_max,0.0,0.0
VER,num__speed_cv,0.0,0.0
VER,num__rpm_cv,0.0,0.0
VER,num__speed_p10,0.0,0.0
VER,num__speed_p25,0.0,0.0
VER,num__speed_p75,0.0,0.0
VER,num__speed_p90,0.0,0.0
VER,num__throttle_p10,0.0,0.0
VER,num__throttle_p25,0.0,0.0
VER,num__throttle_p75,0.0,0.0
VER,num__throttle_p90,0.0,0.0
VER,num__brake_p90,0.0,0.0
