subset_name,penalty,C,class_weight,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,l1,2.0,none,1,0.9862385321100917,0.9861522198731502,0.9861465991066922,0.8727272727272727,0.8727272727272727,0.8738264633916808,0.11351125938281903,0.11232013571501143
distinctive_top5,l1,2.0,none,2,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8424265010351967,0.15446205170975824,0.14826555261694996
distinctive_top5,l1,2.0,none,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.13628023352794005,0.13403260928795002
distinctive_top5,l1,2.0,none,4,0.9908675799086758,0.990909090909091,0.9908562572646261,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.13901572805682394,0.13981164969827942
distinctive_top5,l1,2.0,none,5,0.9908675799086758,0.990909090909091,0.9908027956233537,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.12049720953830545,0.12157636987518894
distinctive_top5,l1,2.0,balanced,1,0.9862385321100917,0.9861522198731502,0.9861465991066922,0.8727272727272727,0.8727272727272727,0.8738264633916808,0.11351125938281903,0.11232013571501143
distinctive_top5,l1,2.0,balanced,2,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.839768492377188,0.15446205170975824,0.15092356127495865
distinctive_top5,l1,2.0,balanced,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.13628023352794005,0.13403260928795002
distinctive_top5,l1,2.0,balanced,4,0.9908675799086758,0.990909090909091,0.9908562572646261,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.13901572805682394,0.13981164969827942
distinctive_top5,l1,2.0,balanced,5,0.9908675799086758,0.990909090909091,0.9908027956233537,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.12049720953830545,0.12157636987518894
distinctive_top5,l1,4.0,none,1,1.0,1.0,1.0,0.8545454545454545,0.8545454545454545,0.8550011392116655,0.1454545454545455,0.14499886078833446
distinctive_top5,l1,4.0,none,2,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8370412196499153,0.1636363636363637,0.1629587803500847
distinctive_top5,l1,4.0,none,3,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8393675889328064,0.1636363636363637,0.16063241106719361
distinctive_top5,l1,4.0,none,4,1.0,1.0,1.0,0.8333333333333334,0.8327272727272728,0.8304909506969004,0.16666666666666663,0.16950904930309962
distinctive_top5,l1,4.0,none,5,0.9954337899543378,0.9954545454545455,0.9954539584140513,0.8518518518518519,0.850909090909091,0.8531601731601732,0.14358193810248598,0.14229378525387804
distinctive_top5,l1,4.0,balanced,1,1.0,1.0,1.0,0.8545454545454545,0.8545454545454545,0.8550011392116655,0.1454545454545455,0.14499886078833446
distinctive_top5,l1,4.0,balanced,2,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8370412196499153,0.1636363636363637,0.1629587803500847
distinctive_top5,l1,4.0,balanced,3,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8393675889328064,0.1636363636363637,0.16063241106719361
distinctive_top5,l1,4.0,balanced,4,1.0,1.0,1.0,0.8333333333333334,0.8327272727272728,0.8304909506969004,0.16666666666666663,0.16950904930309962
distinctive_top5,l1,4.0,balanced,5,0.9954337899543378,0.9954545454545455,0.9954539584140513,0.8518518518518519,0.850909090909091,0.8531601731601732,0.14358193810248598,0.14229378525387804
distinctive_top5,l1,8.0,none,1,1.0,1.0,1.0,0.8181818181818182,0.8181818181818181,0.8202392344497607,0.18181818181818177,0.17976076555023934
distinctive_top5,l1,8.0,none,2,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8331677018633542,0.1636363636363637,0.1668322981366458
distinctive_top5,l1,8.0,none,3,1.0,1.0,1.0,0.8181818181818182,0.8181818181818181,0.8210925306577481,0.18181818181818177,0.17890746934225188
distinctive_top5,l1,8.0,none,4,1.0,1.0,1.0,0.8333333333333334,0.8327272727272728,0.8304909506969004,0.16666666666666663,0.16950904930309962
distinctive_top5,l1,8.0,none,5,1.0,1.0,1.0,0.8703703703703703,0.8690909090909091,0.8712554112554113,0.12962962962962965,0.12874458874458872
