setup,merged_rows
Kwalifikacje 2018-2025,333.0
Kwalifikacje 2018-2025,325.0
Kwalifikacje 2018-2025,276.0
Kwalifikacje 2018-2025,272.0
Kwalifikacje 2018-2025,276.0
Kwalifikacje 2018-2025,270.0
Kwalifikacje 2018-2025,259.0
Kwalifikacje 2018-2025,242.0
Kwalifikacje 2018-2025,240.0
Kwalifikacje 2018-2025,255.0
Kwalifikacje 2018-2025,236.0
Kwalifikacje 2018-2025,241.0
Kwalifikacje 2018-2025,278.0
Kwalifikacje 2018-2025,276.0
Kwalifikacje 2018-2025,298.0
Kwalifikacje 2018-2025,289.0
Kwalifikacje 2018-2025,293.0
Kwalifikacje 2018-2025,307.0
