subset_name,config_name,config_type,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,no_context,leave_one_out,61,1,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8909090909090909,0.8909090909090909,0.8914624505928852,0.09991659716430368,0.09922960305926143
distinctive_top5,no_context,leave_one_out,61,2,0.981651376146789,0.9813953488372092,0.9815858651152769,0.8,0.8,0.8085714285714285,0.18165137614678895,0.1730144365438484
distinctive_top5,no_context,leave_one_out,61,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8727272727272727,0.8727272727272728,0.8739130434782609,0.11809841534612187,0.11688975214509278
distinctive_top5,no_context,leave_one_out,61,4,0.9908675799086758,0.990909090909091,0.9908562572646261,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.13901572805682394,0.13981164969827942
distinctive_top5,no_context,leave_one_out,61,5,0.9863013698630136,0.9863636363636363,0.9862573410778992,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.1159309994926433,0.11703091532973442
distinctive_top5,no_speed,leave_one_out,53,1,0.9862385321100917,0.9860465116279069,0.9860428226686546,0.8545454545454545,0.8545454545454545,0.8568831168831169,0.13169307756463722,0.1291597057855377
distinctive_top5,no_speed,leave_one_out,53,2,0.981651376146789,0.9813953488372092,0.9815858651152769,0.7818181818181819,0.7818181818181819,0.7852813852813852,0.19983319432860713,0.19630447983389165
distinctive_top5,no_speed,leave_one_out,53,3,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8727272727272727,0.8727272727272728,0.8739060939060938,0.11809841534612187,0.11694357929652066
distinctive_top5,no_speed,leave_one_out,53,4,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.8333333333333334,0.8345454545454546,0.8295818597878094,0.16210045662100447,0.16587209862624197
distinctive_top5,no_speed,leave_one_out,53,5,0.9771689497716894,0.977061310782241,0.9771539337797657,0.8888888888888888,0.8872727272727273,0.8872350837568229,0.0882800608828006,0.08991885002294275
distinctive_top5,no_throttle,leave_one_out,51,1,0.9770642201834863,0.976955602536998,0.9770029861007281,0.8,0.8,0.8000715226802184,0.17706422018348622,0.1769314634205097
distinctive_top5,no_throttle,leave_one_out,51,2,0.9724770642201835,0.9724101479915432,0.9724579888663577,0.8363636363636363,0.8363636363636363,0.8303312629399585,0.13611342785654723,0.1421267259263992
distinctive_top5,no_throttle,leave_one_out,51,3,0.9724770642201835,0.9724101479915432,0.9724498535046203,0.8545454545454545,0.8545454545454547,0.8527762092979485,0.11793160967472904,0.11967364420667181
distinctive_top5,no_throttle,leave_one_out,51,4,0.9726027397260274,0.9726215644820296,0.9725675567565768,0.8148148148148148,0.8163636363636364,0.8153961980048937,0.15778792491121263,0.1571713587516831
distinctive_top5,no_throttle,leave_one_out,51,5,0.9771689497716894,0.9771670190274842,0.9771623208832512,0.7962962962962963,0.7963636363636365,0.7909090909090909,0.18087265347539316,0.18625322997416027
distinctive_top5,no_brake,leave_one_out,58,1,0.9862385321100917,0.9861522198731502,0.9861465991066922,0.8727272727272727,0.8727272727272727,0.8726143421795596,0.11351125938281903,0.11353225692713265
distinctive_top5,no_brake,leave_one_out,58,2,0.9908256880733946,0.9906976744186047,0.9907487050215957,0.8,0.8,0.8094285714285714,0.1908256880733945,0.18132013359302435
distinctive_top5,no_brake,leave_one_out,58,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8727272727272727,0.8727272727272728,0.8739130434782609,0.11809841534612187,0.11688975214509278
