team,leader_driver,teammate_driver,season,round,session_key,event_name,feature,leader_minus_teammate,abs_gap
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,brake_active_frac,0.016312199846644324,0.016312199846644324
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,rpm_diff_abs_mean,-21.38656730956555,21.38656730956555
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,gear_change_count,3.0,3.0
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,LapTimeSeconds,-0.597999999999999,0.597999999999999
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,speed_min,0.0,0.0
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,speed_mean,1.0834393236570463,1.0834393236570463
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,throttle_full_frac,0.0488366003291934,0.0488366003291934
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,throttle_mid_frac,-0.04427278168487203,0.04427278168487203
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,throttle_diff_abs_mean,0.13830157609974147,0.13830157609974147
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,brake_active_frac,0.007556486607810858,0.007556486607810858
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,rpm_diff_abs_mean,-7.443227475888023,7.443227475888023
Red Bull Racing,VER,ALB,2019,15,2019_15_Q,Singapore Grand Prix,gear_change_count,5.0,5.0
Red Bull Racing,VER,ALB,2019,16,2019_16_Q,Russian Grand Prix,LapTimeSeconds,-35.55199999999999,35.55199999999999
Red Bull Racing,VER,ALB,2019,16,2019_16_Q,Russian Grand Prix,speed_min,28.0,28.0
Red Bull Racing,VER,ALB,2019,16,2019_16_Q,Russian Grand Prix,speed_mean,70.5756300007478,70.5756300007478
Red Bull Racing,VER,ALB,2019,16,2019_16_Q,Russian Grand Prix,throttle_full_frac,0.48482763777761156,0.48482763777761156
Red Bull Racing,VER,ALB,2019,16,2019_16_Q,Russian Grand Prix,throttle_mid_frac,-0.4021610708143274,0.4021610708143274
